Group,Name,Code,Population
country,Paraguay,PRY,6956071
country,West Bank and Gaza,PSE,4569087
country,Pacific island small states,PSS,2457367
country,Post-demographic dividend,PST,1109997273
country,French Polynesia,PYF,277679
country,Qatar,QAT,2781677
country,Romania,ROU,19473936
country,Russian Federation,RUS,144478050
country,Rwanda,RWA,12301939
country,South Asia,SAS,1814388744
country,Saudi Arabia,SAU,33699947
country,Sudan,SDN,41801533
country,Senegal,SEN,15854360
country,Singapore,SGP,5638676
country,Solomon Islands,SLB,652858
country,Sierra Leone,SLE,7650154
country,El Salvador,SLV,6420744
country,San Marino,SMR,33785
country,Somalia,SOM,15008154
country,Serbia,SRB,6982084
country,Sub-Saharan Africa (excluding high income),SSA,1078209758
country,South Sudan,SSD,10975920
country,Sub-Saharan Africa,SSF,1078306520
country,Small states,SST,40575321
country,Sao Tome and Principe,STP,211028
country,Suriname,SUR,575991
country,Slovak Republic,SVK,5447011
country,Slovenia,SVN,2067372
country,Sweden,SWE,10183175
country,Eswatini,SWZ,1136191
country,Sint Maarten (Dutch part),SXM,40654
country,Seychelles,SYC,96762
country,Syrian Arab Republic,SYR,16906283
country,Turks and Caicos Islands,TCA,37665
country,Chad,TCD,15477751
country,East Asia & Pacific (IDA & IBRD countries),TEA,2056064424
country,Europe & Central Asia (IDA & IBRD countries),TEC,459865205
country,Togo,TGO,7889094
country,Thailand,THA,69428524
country,Tajikistan,TJK,9100837
country,Turkmenistan,TKM,5850908
country,Latin America & the Caribbean (IDA & IBRD countries),TLA,625569713
country,Timor-Leste,TLS,1267972
country,Middle East & North Africa (IDA & IBRD countries),TMN,378327628
country,Tonga,TON,103197
country,South Asia (IDA & IBRD),TSA,1814388744
country,Sub-Saharan Africa (IDA & IBRD countries),TSS,1078306520
country,Trinidad and Tobago,TTO,1389858
country,Tunisia,TUN,11565204
country,Turkey,TUR,82319724
country,Tuvalu,TUV,11508
country,Tanzania,TZA,56318348
country,Uganda,UGA,42723139
country,Ukraine,UKR,44622516
country,Upper middle income,UMC,2655635719
country,Uruguay,URY,3449299
country,United States,USA,327167434
country,Uzbekistan,UZB,32955400
country,St. Vincent and the Grenadines,VCT,110210
country,"Venezuela, RB",VEN,28870195
country,British Virgin Islands,VGB,29802
country,Virgin Islands (U.S.),VIR,106977
country,Vietnam,VNM,95540395
country,Vanuatu,VUT,292680
country,World,WLD,7594270356
country,Samoa,WSM,196130
country,Kosovo,XKX,1845300
country,"Yemen, Rep.",YEM,28498687
country,South Africa,ZAF,57779622
country,Zambia,ZMB,17351822
country,Zimbabwe,ZWE,14439018
us_state,AL,US-AL,4903185
us_state,AK,US-AK,731545
us_state,AZ,US-AZ,7278717
us_state,AR,US-AR,3017804
us_state,CA,US-CA,39512223
us_state,CO,US-CO,5758736
us_state,CT,US-CT,3565287
us_state,DE,US-DE,973764
us_state,DC,US-DC,705749
us_state,FL,US-FL,21477737
us_state,GA,US-GA,10617423
us_state,HI,US-HI,1415872
us_state,ID,US-ID,1787065
us_state,IL,US-IL,12671821
us_state,IN,US-IN,6732219
us_state,IA,US-IA,3155070
us_state,KS,US-KS,2913314
us_state,KY,US-KY,4467673
us_state,LA,US-LA,4648794
us_state,ME,US-ME,1344212
us_state,MD,US-MD,6045680
us_state,MA,US-MA,6892503
us_state,MI,US-MI,9986857
us_state,MN,US-MN,5639632
us_state,MS,US-MS,2976149
us_state,MO,US-MO,6137428
us_state,MT,US-MT,1068778
us_state,NE,US-NE,1934408
us_state,NV,US-NV,3080156
us_state,NH,US-NH,1359711
us_state,NJ,US-NJ,8882190
us_state,NM,US-NM,2096829
us_state,NY,US-NY,19453561
us_state,NC,US-NC,10488084
us_state,ND,US-ND,762062
us_state,OH,US-OH,11689100
us_state,OK,US-OK,3956971
us_state,OR,US-OR,4217737
us_state,PA,US-PA,12801989
us_state,RI,US-RI,1059361
us_state,SC,US-SC,5148714
us_state,SD,US-SD,884659
us_state,TN,US-TN,6829174
us_state,TX,US-TX,28995881
us_state,UT,US-UT,3205958
us_state,VT,US-VT,623989
us_state,VA,US-VA,8535519
us_state,WA,US-WA,7614893
us_state,WV,US-WV,1792147
us_state,WI,US-WI,5822434
us_state,WY,US-WY,578759
country,Taiwan,TW,23603049
country,Saint Barthelemy,TB,7122
country,St. Martin,RN,32556
country,Brunei,BX,464478
country,Palestine,PSE,5051953
